UID,Machine ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power,Tool Wear Failure,Heat Dissipation Failure,Power Failure,Overstrain Failure,Random Failure,Machine Failure
1,M14860,Medium,298.1,308.6,1551,42.8,0,66382.79999999999,No,No,No,No,No,No
2,L47181,Low,298.2,308.7,1408,46.3,3,65190.399999999994,No,No,No,No,No,No
3,L47182,Low,298.1,308.5,1498,49.4,5,74001.2,No,No,No,No,No,No
4,L47183,Low,298.2,308.6,1433,39.5,7,56603.5,No,No,No,No,No,No
5,L47184,Low,298.2,308.7,1408,40.0,9,56320.0,No,No,No,No,No,No
6,M14865,Medium,298.1,308.6,1425,41.9,11,59707.5,No,No,No,No,No,No
7,L47186,Low,298.1,308.6,1558,42.4,14,66059.2,No,No,No,No,No,No
8,L47187,Low,298.1,308.6,1527,40.2,16,61385.4,No,No,No,No,No,No
9,M14868,Medium,298.3,308.7,1667,28.6,18,47676.200000000004,No,No,No,No,No,No
10,M14869,Medium,298.5,309.0,1741,28.0,21,48748.0,No,No,No,No,No,No
11,H29424,High,298.4,308.9,1782,23.9,24,42589.799999999996,No,No,No,No,No,No
12,H29425,High,298.6,309.1,1423,44.3,29,63038.899999999994,No,No,No,No,No,No
13,M14872,Medium,298.6,309.1,1339,51.1,34,68422.90000000001,No,No,No,No,No,No
14,M14873,Medium,298.6,309.2,1742,30.0,37,52260.0,No,No,No,No,No,No
15,L47194,Low,298.6,309.2,2035,19.6,40,39886.0,No,No,No,No,No,No
16,L47195,Low,298.6,309.2,1542,48.4,42,74632.8,No,No,No,No,No,No
17,M14876,Medium,298.6,309.2,1311,46.6,44,61092.6,No,No,No,No,No,No
18,M14877,Medium,298.7,309.2,1410,45.6,47,64296.0,No,No,No,No,No,No
19,H29432,High,298.8,309.2,1306,54.5,50,71177.0,No,No,No,No,No,No
20,M14879,Medium,298.9,309.3,1632,32.5,55,53040.0,No,No,No,No,No,No
